127.0.0.1 - - [19/Feb/2025:16:35:28 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:35:37 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:35:43 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:35:48 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:35:53 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:35:58 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:03 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:03 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:08 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:13 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:19 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:24 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:29 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:34 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:39 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:44 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:49 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:54 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:36:59 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:04 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:09 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:14 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:19 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:24 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:30 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:35 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:40 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:45 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:50 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:37:55 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:16:38:00 +0530] "GET /JspDemo/Refresh HTTP/1.1" 200 243
